"","trueNorm","len"
"1",1,148511
"2",2,43178
"3",3,59416
"4",5,15211
"5",6,10347
"6",7,33972
"7",8,13006
"8",9,32008
"9",10,19907
"10",11,6062
"11",12,6614
"12",13,41811
"13",14,7107
"14",15,15666
"15",16,16965
"16",17,30098
"17",18,31702
"18",20,21475
"19",21,13022
"20",22,26242
"21",23,7800
"22",24,20221
"23",25,31458
"24",26,53913
"25",28,20598
"26",29,45507
"27",30,19932
"28",31,52829
"29",32,43588
"30",33,16938
"31",34,17253
"32",35,28578
"33",36,24008
"34",37,44031
"35",38,57267
"36",39,46394
"37",40,20101
"38",41,52879
"39",42,72713
"40",43,57095
"41",44,107965
"42",45,282671
"43",46,76785
"44",47,60018
"45",48,39184
"46",49,23554
"47",50,67477
"48",51,13958
"49",52,30226
"50",53,30132
"51",54,52292
"52",55,31184
"53",56,6501
"54",57,7567
"55",58,14606
"56",59,16795
"57",60,53671
"58",61,24834
"59",62,18155
"60",63,11602
"61",65,56773
"62",67,37196
"63",68,23882
"64",69,22770
"65",70,18323
"66",71,32704
"67",72,24802
"68",73,15342
"69",74,15100
"70",75,25006
"71",76,13501
"72",77,28352
"73",78,31577
"74",79,8895
"75",80,11699
"76",81,29500
"77",82,16546
"78",83,14557
"79",84,15507
"80",86,9981
"81",87,94918
"82",88,73313
"83",89,119800
"84",90,413162
"85",91,87620
"86",92,71426
"87",93,34255
"88",94,42517
"89",95,54249
"90",97,28231
"91",98,20555
"92",99,3210
"93",101,14990
"94",102,4451
"95",103,5007
"96",105,34673
"97",106,20024
"98",107,9221
"99",108,14068
"100",109,5159
"101",110,13005
"102",111,29829
"103",112,12019
"104",113,14117
"105",114,16506
"106",115,31322
"107",116,9435
"108",117,44276
"109",118,10000
"110",119,48082
"111",120,4850
"112",121,55811
"113",122,67139
"114",123,19465
"115",124,22652
"116",125,34208
"117",126,12837
"118",127,49066
"119",128,27257
"120",129,28622
"121",130,22609
"122",131,43327
"123",132,74956
"124",133,33911
"125",134,126219
"126",135,260432
"127",136,128508
"128",137,28821
"129",138,32806
"130",139,48517
"131",140,55541
"132",141,24144
"133",142,13443
"134",143,36328
"135",144,58557
"136",145,61105
"137",146,12274
"138",147,20131
"139",148,18327
"140",149,27235
"141",150,42863
"142",152,30701
"143",153,33854
"144",154,32505
"145",155,14500
"146",156,12916
"147",157,32608
"148",158,19101
"149",159,19569
"150",160,40308
"151",161,13796
"152",162,16439
"153",163,12401
"154",165,34408
"155",166,9470
"156",167,21286
"157",168,8002
"158",169,13005
"159",170,39821
"160",171,38144
"161",172,14351
"162",173,9495
"163",174,9451
"164",175,58947
"165",176,27676
"166",177,30095
"167",178,28408
"168",179,271405
"169",180,490129
