"","X","Y","StateAbbv","EndID","TrueAlignment","TORA","trueNorm"
"1",-86.6164709440318,31.8514564164853,NA,"14",140,5200,140
"2",-87.680243916367,30.2902842496839,NA,"09",90,6962,90
"3",-86.7654647777424,34.6530988057976,9,"18L",181,10006,1
"4",-86.7821005554198,34.6527852780143,8,"18R",181,12600,1
"5",-87.3220787503581,33.902209194486,NA,"09",92,5001,92
"6",-87.7141743051344,34.4378158889224,NA,"02",16,5000,16
"7",-94.1720058329035,36.0131902498511,NA,"16",169,6005,169
"8",-94.3119830551218,36.2932028336253,NA,"16",160,8800,160
"9",-94.3138921664417,36.29263111083,NA,"17",160,8800,160
"10",-94.3693056664141,35.3322608052721,NA,"01",21,5001,21
"11",-94.3814535552551,35.3336058055654,NA,"07",81,8000,81
"12",-93.1062636384811,34.4730208608511,NA,"05",54,6595,54
"13",-93.0992552781801,34.4814804167613,NA,"13",134,4100,134
"14",-92.2380233329313,34.7225126668162,NA,"04L",47,8273,47
"15",-92.2212199996905,34.7193864167603,NA,"04R",47,8250,47
"16",-92.2380943330764,34.7397899440913,NA,"18",182,6224,2
"17",-150.008333277509,61.1697649720871,8,"07L",90,10600,90
"18",-150.042871305599,61.1678115556166,8,"07R",90,10900,90
"19",-150.014676888992,61.1999913611828,8,"15",165,10493,165
"20",-149.651020555213,61.2713805554669,2,"17",191,4088,11
"21",-156.798776861228,71.2848681943594,NA,"07",90,7100,90
"22",-162.732236110755,55.1992027778411,NA,"08",95,6235,95
"23",-147.885884389032,64.8026321112701,7,"02L",38,11800,38
"24",-134.596969444684,58.3578472222695,NA,"08",105,8857,105
"25",-151.258387499895,60.5631113889732,5,"01L",31,7830,31
"26",-156.664726499574,58.6839400001468,NA,"12",132,8901,132
"27",-152.519035916448,57.7521916112757,NA,"07",92,7542,92
"28",-152.502267110853,57.7549197500926,NA,"11",127,5399,127
"29",-155.605305555769,62.9591999999638,NA,"16",179,5936,179
"30",-149.08749722203,61.6039888887751,NA,"16",180,6008,180
"31",-132.961303277847,56.7985835833797,NA,"05",71,6400,71
"32",-162.91431388847,68.0255999999102,NA,"03",42,6337,42
"33",-160.527943250166,55.3197863612315,NA,"13",148,5213,148
"34",-135.373031166529,57.053475527783,NA,"11",136,7200,136
"35",-166.551673889082,53.9029470279353,NA,"12",136,4100,136
"36",-146.26293477785,61.132867472194,NA,"06",81,6500,81
"37",-139.68486480572,59.4962724167169,NA,"02",45,7647,45
"38",-87.4467777774654,31.0230222225942,NA,"18",180,4952,180
"39",-85.4616457774423,31.330589222345,3,"14",135,8496,135
"40",-85.4455600552814,31.3265414719854,3,"18",180,5500,180
"41",-94.001355778141,33.4462519724499,NA,"04",45,6601,45
"42",-93.9936574443282,33.4600960554478,NA,"13",135,5200,135
"43",-170.725234166705,-14.3405047218115,NA,"05",60,9200,60
"44",-111.678924360937,35.1312183056353,NA,"03",41,8800,41
"45",-111.924652777453,32.9861749999103,NA,"04",48,4751,48
"46",-112.029793721923,33.4408607222204,NA,"08",90,11489,90
"47",-112.420448528104,34.6564905555411,NA,"03L",41,4848,41
"48",-112.42800469454,34.6464625555564,NA,"03R",41,7616,41
"49",-112.427966083153,34.652738305645,NA,"12",137,4408,137
"50",-111.919938055922,33.6147278336948,NA,"03",44,8249,44
"51",-110.959040444572,32.117166944486,7,"03",45,7000,45
"52",-109.990936111431,33.8030361112622,NA,"01",30,6100,30
"53",-124.113123388765,40.9852786668512,NA,"14",153,6001,153
"54",-118.369142832948,34.1979109723695,4,"08",91,5801,91
"55",-118.360461249937,34.2123446391676,4,"15",167,6885,167
"56",-117.287924944307,33.1269883889424,NA,"06",79,4897,79
"57",-122.061328333178,37.9819516947711,NA,"01L",24,4710,24
"58",-122.058855361033,37.996512777507,NA,"14L",154,4601,154
"59",-118.037673333428,34.0810419445631,NA,"01",25,3504,25
"60",-119.730085583587,36.7840015003241,NA,"11L",125,9539,125
"61",-118.343341944177,33.9224533336083,NA,"07",87,4956,87
"62",-118.417925000035,34.2635277779597,NA,"12",139,3442,139
"63",-121.856665583307,36.5911545000946,NA,"10R",113,7616,113
"64",-122.242114305667,37.7200620832832,7,"12",129,8490,129
"65",-116.517448083618,33.8406795274576,5,"13R",143,10000,143
"66",-117.204355833151,32.7371217502673,7,"09",106,9401,106
"67",-122.393391138502,37.6287386110174,8,"10L",117,11870,117
"68",-122.393105416749,37.6262900277931,8,"10R",117,11381,117
"69",-121.940175166703,37.3749926941614,NA,"12L",139,10139,139
"70",-121.941986888968,37.3737278057161,NA,"12R",139,9883,139
"71",-122.820962083723,38.5031657218795,NA,"02",29,5002,29
"72",-107.904857250082,38.509224083518,NA,"13",139,7510,139
"73",-107.892739832994,38.5298313888638,NA,"17",180,10000,180
"74",-104.510063889036,38.2871250003377,NA,"08R",88,10496,88
"75",-104.504081805438,38.3041833052955,NA,"17",178,8308,178
"76",-106.869949333427,40.5216975003155,NA,"14",153,4452,153
"77",-107.920651999838,37.9563225552093,NA,"09",105,7111,105
"78",-73.1319561389147,41.1570443889389,NA,"06",45,4677,45
"79",-73.1349616943445,41.1662385002234,NA,"11",98,4761,98
"80",-72.0480259723271,41.3250322503027,NA,"05",34,5000,34
"81",-72.0530142218784,41.333116139133,NA,"15",135,4000,135
"82",-72.8882460275346,41.256050111348,NA,"02",3,5600,3
"83",-72.8903296392934,41.2670639722207,NA,"14",131,3630,131
"84",-73.1368828610555,41.4861383053332,NA,"18",171,5800,171
"85",-72.679619694136,41.9337248612163,NA,"01",359,4268,179
"86",-72.6965800555835,41.9320142219411,NA,"06",44,9509,44
"87",-72.6932526113295,41.9423973055759,NA,"15",134,6847,134
"88",-77.036748444399,38.8415681944527,5,"01",355,6869,175
"89",-77.0407586109638,38.8422693891554,5,"04",26,4911,26
"90",-77.0438185836386,38.8616968331595,5,"15",143,5204,143
"91",-77.4597775282047,38.9390664441861,8,"01C",1,11500,1
"92",-77.4748097502179,38.9449666664123,8,"01L",1,9400,1
"93",-77.4364505557087,38.9237572219022,8,"01R",1,11500,1
"94",-77.4904441668649,38.9437722225392,8,"12",111,10501,111
"95",-75.6027123608487,39.2169272775692,NA,"09",73,3582,73
"96",-75.6038233612594,39.6692919164817,NA,"01",5,7012,5
"97",-75.6205869997445,39.6780648054881,NA,"09",78,7275,78
"98",-75.6166900559397,39.6802495834153,NA,"14",131,4602,131
"99",-80.114395722145,26.3723115281335,NA,"05",44,6276,44
"100",-119.991985832971,38.9053218610253,NA,"18",193,8541,13
"101",-121.250888972047,37.9023419443606,NA,"11L",128,9600,128
"102",-119.400761138795,36.3249873608954,NA,"12",135,6560,135
"103",-105.875596333685,37.4251831664142,NA,"02",32,8519,32
"104",-106.873148416511,39.2321761941402,NA,"15",160,7006,160
"105",-104.715354722089,38.8231556666222,NA,"13",135,8269,135
"106",-104.685734083543,38.8160880555515,NA,"17L",180,13501,180
"107",-104.715895833081,38.824076222139,NA,"17R",180,11022,180
"108",-108.636253472072,37.2955994998963,NA,"03",42,7205,42
"109",-105.118076916384,39.9058784720801,NA,"02",34,3600,34
"110",-105.128413138655,39.9152928610788,NA,"11L",124,9000,124
"111",-105.131540500248,39.9141949166884,NA,"11R",124,7002,124
"112",-104.72665638895,39.840945055871,9,"07",90,12000,90
"113",-104.662229638981,39.8775558052231,9,"08",91,12000,91
"114",-104.68680549969,39.897036139232,9,"16L",181,12000,1
"115",-104.696083500269,39.8957969447441,9,"16R",180,16000,180
"116",-104.641304416601,39.8649524169271,9,"17L",181,12000,1
"117",-104.660154472284,39.8612450280015,9,"17R",181,12000,1
"118",-106.931755555778,39.6410278052686,NA,"07",82,9000,82
"119",-105.011571666355,40.4527988890214,NA,"06",71,2273,71
"120",-105.017415833404,40.4622805555272,NA,"15",160,8500,160
"121",-106.945084999611,38.5324388888902,NA,"06",74,9400,74
"122",-106.939391222218,38.5325137501818,NA,"17",180,3000,180
